,Name,Value,Overall_rating,Statistical_rating,Short_name
375,N. Tomović,6000000.0,76,50.464000000000006,N. Tomović
376,N. Giannetti,2200000.0,70,6.5636363636363635,N. Giannetti
377,N. Murru,2100000.0,70,113.41538461538461,N. Murru
378,N. Rigoni,7000000.0,74,18.683333333333334,N. Rigoni
379,N. Frey,1200000.0,72,79.29333333333332,N. Frey
380,N. Burdisso,1200000.0,77,58.628571428571426,N. Burdisso
381,N. Spolli,2000000.0,75,63.5142857142857,N. Spolli
382,N. Barella,8500000.0,73,94.86428571428571,N. Barella
383,N. Fazzi,290000.0,60,7.6000000000000005,N. Fazzi
384,N. Kalinić,18000000.0,81,59.018750000000004,N. Kalinić
385,N. Maksimović,13500000.0,79,81.7,N. Maksimović
386,N. Ninković,2600000.0,70,61.470588235294116,N. Ninković
387,N. Balogh,675000.0,63,18.05,N. Balogh
388,N. Gyömbér,3300000.0,72,70.3,N. Gyömbér
389,N. Dussenne,1900000.0,70,71.72500000000001,N. Dussenne
390,N. Di Roberto,475000.0,65,7.6000000000000005,N. Di Roberto
391,O. Ntcham,3100000.0,70,58.71,O. Ntcham
392,O. El Kaddouri,12000000.0,78,86.26000000000002,O. El Kaddouri
393,O. Karnezis,13500000.0,82,26.94545454545454,O. Karnezis
394,O. Hiljemark,5000000.0,73,55.55862068965518,O. Hiljemark
395,O. Bouy,1000000.0,68,15.199999999999996,O. Bouy
396,P. Kone,3000000.0,72,72.2,P. Kone
397,P. Tachtsidis,6500000.0,75,173.19230769230768,P. Tachtsidis
398,P. Cannavaro,900000.0,75,100.06666666666666,P. Cannavaro
399,P. Evra,1400000.0,79,34.833333333333336,P. Evra
400,P. Cutrone,2300000.0,69,-38.0,P. Cutrone
401,P. Schick,14500000.0,77,56.525,P. Schick
402,P. Dybala,79000000.0,88,118.53548387096774,P. Dybala
403,P. Gollini,2000000.0,70,223.25,P. Gollini
404,P. Iemmello,3000000.0,71,27.494117647058825,P. Iemmello
405,P. Zieliński,20500000.0,80,73.25555555555556,P. Zieliński
406,R. Krunić,3300000.0,71,146.5375,R. Krunić
407,R. Nainggolan,42500000.0,86,147.48108108108107,R. Nainggolan
408,Rafael Tolói,9000000.0,77,148.79375000000002,Rafael Tolói
409,R. Maiello,900000.0,67,7.599999999999998,R. Maiello
410,R. Palladino,1900000.0,72,68.03225806451613,R. Palladino
411,R. Freuler,8500000.0,75,137.72121212121212,R. Freuler
412,R. Manaj,1300000.0,67,11.716666666666667,R. Manaj
413,R. Kishna,9500000.0,75,27.359999999999996,R. Kishna
414,R. Fiamozzi,875000.0,66,34.2,R. Fiamozzi
415,R. Meggiorini,7000000.0,76,40.53333333333333,R. Meggiorini
416,R. Saponara,16000000.0,79,67.22068965517241,R. Saponara
417,R. Murić,1100000.0,67,62.31999999999999,R. Murić
418,R. Gagliardini,14500000.0,78,113.75483870967743,R. Gagliardini
419,R. Inglese,8500000.0,75,52.64117647058823,R. Inglese
420,R. Vitiello,725000.0,71,87.4,R. Vitiello
421,R. Quaison,7500000.0,74,48.28235294117648,R. Quaison
422,R. Sallai,0.0,64,27.142857142857142,R. Sallai
423,R. Mandragora,2000000.0,69,19.0,R. Mandragora
424,S. Khedira,29000000.0,84,92.54838709677419,S. Khedira
425,S. Bastien,2900000.0,70,67.44999999999999,S. Bastien
426,S. Gustafson,1200000.0,68,33.440000000000005,S. Gustafson
427,S. Gentiletti,5000000.0,77,47.879999999999995,S. Gentiletti
428,S. Taïder,8000000.0,75,103.55000000000001,S. Taïder
429,S. Lukić,2400000.0,70,71.1142857142857,S. Lukić
430,S. Cristóforo,8500000.0,76,48.599999999999994,S. Cristóforo
431,S. Fofana,11000000.0,75,90.68181818181819,S. Fofana
432,S. Lulić,9000000.0,78,139.86451612903227,S. Lulić
433,S. Miangue,900000.0,66,43.42857142857143,S. Miangue
434,S. Gakpé,5500000.0,74,30.906666666666663,S. Gakpé
435,S. Milinković-Savić,20000000.0,80,107.96470588235293,S. Milinković-Savić
436,S. Floccari,3100000.0,75,41.040000000000006,S. Floccari
437,S. Pellissier,1400000.0,73,43.06666666666667,S. Pellissier
438,S. Widmer,10000000.0,77,147.52142857142857,S. Widmer
439,S. Lo Faso,450000.0,60,12.16,S. Lo Faso
440,S. Missiroli,5500000.0,75,66.93846153846154,S. Missiroli
441,S. Padoin,1500000.0,73,74.28387096774193,S. Padoin
442,S. Scuffet,7500000.0,75,-31.666666666666668,S. Scuffet
443,S. Verdi,13000000.0,78,117.39285714285714,S. Verdi
444,S. Anđelković,3800000.0,74,94.65454545454546,S. Anđelković
445,S. Rajković,6000000.0,75,56.04999999999998,S. Rajković
446,S. Kiyine,475000.0,61,19.542857142857144,S. Kiyine
447,S. Silva,625000.0,65,38.0,S. Silva
448,S. de Vrij,29000000.0,83,119.2074074074074,S. de Vrij
449,S. Pettinari,975000.0,67,12.033333333333333,S. Pettinari
450,S. Sensi,10000000.0,75,138.7,S. Sensi
451,S. Sorrentino,850000.0,79,48.05882352941177,S. Sorrentino
452,S. Sturaro,11500000.0,77,61.34285714285714,S. Sturaro
453,S. El Shaarawy,19000000.0,80,69.1125,S. El Shaarawy
454,S. Lichtsteiner,8500000.0,82,74.68461538461537,S. Lichtsteiner
455,S. Jovetić,21000000.0,81,-10.639999999999999,S. Jovetić
456,S. Perica,6000000.0,73,38.14074074074074,S. Perica
457,S. Kums,7500000.0,76,120.02758620689654,S. Kums
458,T. Heurtaux,6000000.0,76,47.81666666666666,T. Heurtaux
459,T. Strakosha,7000000.0,74,80.52380952380952,T. Strakosha
460,T. Letschert,4300000.0,73,53.20000000000001,T. Letschert
461,T. Rincón,8500000.0,77,59.096551724137925,T. Rincón
462,T. Šunjić,3600000.0,73,67.85714285714286,T. Šunjić
463,T. Sainsbury,0.0,74,26.599999999999998,T. Sainsbury
464,U. Ćosić,2600000.0,71,67.04285714285713,U. Ćosić
